,count,mean,std,min,25%,50%,75%,max
balance,28591.0,21.935788749356785,17.128032057652902,0.0,0.0,32.552049095296724,35.86208980495814,52.77333491540924
total_received_ETH,28591.0,37.18467460368914,13.705854251154724,0.0,38.43124175078954,41.57178986821707,43.882879018914366,57.66361157674574
total_sent_ETH,28591.0,34.04677787398953,16.911825284651307,0.0,37.34213677581722,41.40150597476007,43.80909291425401,57.66361157674574
total_received_USD,28591.0,7.036800756727882,3.92321376688687,0.0,4.529762265130157,7.490848093316809,9.709252168286087,24.43260094888469
total_sent_USD,28591.0,6.572041741001279,4.277951433522271,0.0,3.452791998705017,7.244727802581805,9.627830587401387,24.43260094888469
transaction_number,28591.0,3.0802079814949552,1.886274213800086,0.0,1.6094379124341003,2.8903717578961645,4.31748811353631,12.299658612460707
payment_transactions,28591.0,2.367396554088862,1.8711105764765426,0.0,0.6931471805599453,1.9459101490553132,3.6375861597263857,11.605787195221366
receipt_transactions,28591.0,2.3284714146421157,1.676340263750577,0.0,1.0986122886681098,2.0794415416798357,3.332204510175204,12.077864203690206
lifetime,28591.0,13.82126836900259,5.390558575441281,0.0,12.700924325450881,15.944320786912968,17.474575205506582,19.36881869066319
creat_contract,28591.0,0.07504091339460926,0.2695339603494387,0.0,0.0,0.0,0.0,6.448889394146858
transaction_fee,28591.0,31.000763430039683,14.50645756238964,0.0,34.236900371623285,36.67943062075851,39.04523060795962,48.16550280022347
error_transaction,28591.0,0.5022450302465908,1.0782269932478328,0.0,0.0,0.0,0.6931471805599453,10.281238822076777
total_gas_used,28591.0,11.179064883070707,5.464297687166364,0.0,9.952325334619427,12.514696402188783,14.812679250893058,23.547443867866562
total_gas_limit,28591.0,11.308980918898087,5.698017867321609,0.0,9.952325334619427,12.799352528379224,15.154916248535944,24.93123667111484
total_gasP_set,28591.0,22.076656294688657,10.38299861342301,0.0,23.942141661854613,26.01527858354862,27.942431056468934,37.05770074240631
transaction_fee_Variance,28591.0,47.534088136022135,32.600375168336754,0.0,0.0,68.05630765211927,70.90368205000098,89.22278425330835
gas_limit_Variance,28591.0,12.83576180199605,11.098000790394167,0.0,0.0,19.635634709722215,22.912710227075646,32.51125155326073
gasP_set_Variance,28591.0,31.708531818861314,22.054079890397627,0.0,0.0,45.81344467075665,47.83014971056534,62.658377525657905
gas_weight_block,28591.0,0.02160767654370536,0.05085163003065634,0.0,0.0029262197459369137,0.009415737112253707,0.019897765417377776,0.6931471805599453
activity_w,28591.0,1.8620839936085947,1.3217120721687177,0.0,0.6931471805599453,1.6094379124341003,2.6390573296152584,7.819636302367592
activity_d,28591.0,1.8745078322561186,1.4544935452172412,0.0,0.6931471805599453,1.6094379124341003,2.833213344056216,7.529943370601589
activity_time,28591.0,2.2593101303630316,1.4774925733516064,0.0,1.0986122886681098,1.9459101490553132,3.2188758248682006,8.228443883004033
max_sent_amount,28591.0,33.31859455739729,16.520609378635466,0.0,37.023683044698686,40.530240942018665,42.67030710551494,54.61386841693988
min_sent_amount,28591.0,11.235609530198348,17.83322705702903,0.0,0.0,0.0,35.650633910328814,51.59296540503934
max_received_amount,28591.0,36.281730771975276,13.308108416043906,0.0,37.93997377657284,40.674341285992426,42.51124241088525,54.61386841693988
min_received_amount,28591.0,26.666250979566172,16.50377390200161,0.0,0.0,35.71434972471492,37.63435400343439,51.59296540503934
received_Variance_ETH,28591.0,58.51002017161042,35.81712359477163,0.0,0.0,77.9743373234926,81.89066991685807,106.7342790910103
sent_Variance_ETH,28591.0,55.698224518895174,36.86271591275324,0.0,0.0,76.84721764196533,81.38347077032127,107.71897254976885
received_Variance_USD,28591.0,8.811601810110655,6.8244199554082146,0.0,0.0,10.039520980052885,13.68522481736105,40.463032192325215
sent_Variance_USD,28591.0,8.251657261831772,6.957284815570959,0.0,0.0,9.04167430974774,13.44918655184076,41.44653167389282
from_contract_wd_internal,28591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from_contract_wd_normal,28591.0,1.7526214022069981,1.9486632706286513,0.0,0.0,1.0986122886681098,3.1354942159291497,11.300449808780533
from_contract_wod_internal,28591.0,0.02507515835490975,0.35902602393376293,0.0,0.0,0.0,0.0,11.558730224870715
from_contract_wod_normal,28591.0,0.13941609667159796,0.4955846065271878,0.0,0.0,0.0,0.0,8.462737005620179
from_EOA_wd_internal,28591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from_EOA_wd_normal,28591.0,0.0790066304491417,0.3677095700666885,0.0,0.0,0.0,0.0,7.8826922062890254
from_EOA_wod_internal,28591.0,0.08511139491499686,0.5849869298226843,0.0,0.0,0.0,0.0,11.549806905696473
from_EOA_wod_normal,28591.0,1.3524305234489566,1.3452302512932648,0.0,0.0,1.0986122886681098,2.0794415416798357,11.585776218584382
to_contract_wd_internal,28591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to_contract_wd_normal,28591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to_contract_wod_internal,28591.0,0.8364379040503563,1.4109553505162131,0.0,0.0,0.0,1.3862943611198906,11.340997705040289
to_contract_wod_normal,28591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to_EOA_wd_internal,28591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to_EOA_wd_normal,28591.0,0.35350215428489695,1.2245774048702458,0.0,0.0,0.0,0.0,11.60698941400602
to_EOA_wod_internal,28591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
